name	Early	Late	None	All
miss	19	0	39	58
n	226	28	1801	2055
miss_frac	0.084	0	0.022	0.028
brady	10	2	35	47
frac_brad	0.044	0.071	0.019	0.023
avb	19	2	66	87
frac_avb	0.084	0.071	0.037	0.042
bbb	100	12	523	635
frac_bbb	0.442	0.429	0.29	0.309
lbbb	22	6	326	354
frac_lbbb	0.22	0.5	0.623	0.557
rbbb	61	2	119	182
frac_rbbb	0.61	0.167	0.228	0.287
unspec	17	4	78	99
frac_unspec	0.17	0.333	0.149	0.156
